defName,label,armorBlunt,armorSharp,armorHeat,materialCoefficient,acceptedMaterials,bodyPartCoverage,apparelLayers
Apparel_WarVeil,面罩,,,,0.2,Fabric,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_SimpleHelmet,简易头盔,,,,0.5,Metallic,,4
Apparel_AdvancedHelmet,防弹头盔,,,,0.7,Metallic,,4
Apparel_PowerArmorHelmet,海军头盔,0.45,1.06,0.54,,,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_ArmorHelmetRecon,斥候头盔,0.4,0.92,0.46,,,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_PsychicFoilHelmet,心灵防护头盔,0.09,0.09,0.27,,,,4
Apparel_HatHood,兜帽,,,,0.2,Fabric、Leathery,,4
Apparel_ClothMask,毒污口罩,,,,0.2,Fabric,,4
Apparel_SmokepopBelt,烟罐包,,,,,,Waist,3
Apparel_FirefoampopPack,消防背包,,,,,,Waist,3
Apparel_TribalA,部落装,,,,0.2,Fabric、Leathery,Torso、LeftLeg、RightLeg,0
Apparel_Parka,风雪大衣,,,,0.2,Fabric、Leathery,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm,2
Apparel_Pants,裤子,,,,0.2,Fabric、Leathery,LeftLeg、RightLeg,0
Apparel_BasicShirt,T恤衫,,,,0.2,Fabric、Leathery,Torso、LeftShoulder、RightShoulder,0
Apparel_CollarShirt,衬衫,,,,0.2,Fabric、Leathery,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm,0
Apparel_Duster,防尘大衣,,,,0.3,Fabric、Leathery,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,2
Apparel_Jacket,夹克,,,,0.3,Fabric、Leathery,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm,2
Apparel_PlateArmor,板甲,,,,0.9,Metallic、Woody,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_FlakVest,防弹背心,0.36,1,0.27,,,Torso、Neck,1
Apparel_FlakPants,防弹裤,0.08,0.55,0.1,,,LeftLeg、RightLeg,0、1
Apparel_FlakJacket,防弹夹克,0.08,0.55,0.1,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm,2
Apparel_PowerArmor,海军装甲,0.45,1.06,0.54,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_ArmorRecon,斥候装甲,0.4,0.92,0.46,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_Cape,披肩,,,,0.3,Fabric、Leathery,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,2
Apparel_Robe,robe,,,,0.2,Fabric、Leathery,Torso、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,2
Apparel_Headwrap,裹头巾,,,,0.25,Fabric,,4
Apparel_Broadwrap,头巾,,,,0.25,Fabric,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw、Neck、LeftShoulder、RightShoulder,4
Apparel_VisageMask,假面,,,,0.3,Woody、Metallic,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_Slicecap,壳帽,,,,0.1,Woody、Metallic,,4
Apparel_Collar,奴隶项圈,,,,0,Metallic、Leathery,Neck,4
Apparel_AuthorityCap,威权帽,,,,0.2,Fabric、Leathery,,4
Apparel_Tailcap,毛皮帽,,,,0.2,Leathery,,4
Apparel_Shadecone,箬帽,,,,0.2,Fabric、Leathery,,4
Apparel_Flophat,睡帽,,,,0.2,Fabric,,4
Apparel_BodyStrap,束缚带,,,,0.1,Fabric、Leathery,Torso,2
Apparel_Burka,布卡罩袍,,,,0.2,Fabric,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw、Neck、LeftShoulder、RightShoulder、Torso、LeftLeg、RightLeg、LeftArm、RightArm,2
Apparel_TortureCrown,荆棘皇冠,,,,0.15,Metallic、Woody,,4
Apparel_Blindfold,眼罩,,,,0.1,Fabric,LeftEye、RightEye,5
Apparel_VacsuitHelmet,真空头盔,0.24,0.52,0.66,,,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_CerebrexNode,主脑节点,,,,,,Waist,3
Apparel_Vacsuit,真空服,0.25,0.52,0.66,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_VacsuitChildren,儿童真空服,0.2,0.52,0.66,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_PackJump,跳跃背包,,,,,,Waist,3
Apparel_PackBroadshield,便携护盾背包,,,,,,Waist,3
Apparel_PsyfocusHelmet,灵质头盔,0.09,0.09,0.27,,,,4
Apparel_EltexSkullcap,灵质头套,,,,,,,4
Apparel_PsyfocusShirt,灵质衬衫,0,0.07,0.04,,,Torso、LeftShoulder、RightShoulder,0
Apparel_PsyfocusVest,灵质马甲,0,0.07,0.04,,,Torso、Neck、LeftShoulder、RightShoulder,1
Apparel_PsyfocusRobe,灵质长袍,0,0.07,0.04,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,2
Apparel_ShirtRuffle,褶边礼服衬衫,,,,0.2,Fabric、Leathery,LeftArm、RightArm、Neck,0
Apparel_Corset,紧身胸衣,,,,0.2,Fabric、Leathery,Torso,1
Apparel_VestRoyal,贵族马甲,,,,0.2,Fabric、Leathery,Torso,1
Apparel_RobeRoyal,皇家长袍,,,,0.2,Fabric、Leathery,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,2
Apparel_HatLadies,淑女帽,,,,,,,4
Apparel_HatTop,高顶礼帽,,,,,,,4
Apparel_Coronet,冠冕,,,,,Metallic,,4
Apparel_Crown,皇冠,,,,,Metallic,,4
Apparel_CrownStellic,星尘皇冠,,,,,Metallic,,4
Apparel_Beret,贝雷帽,,,,,Fabric、Leathery,,4
Apparel_ArmorReconPrestige,圣装斥候装甲,0.4,0.92,0.46,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_ArmorHelmetReconPrestige,圣装斥候头盔,0.4,0.92,0.46,,,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_ArmorMarinePrestige,圣装海军装甲,0.45,1.06,0.54,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_ArmorMarineHelmetPrestige,圣装海军头盔,0.45,1.06,0.54,,,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_ArmorCataphract,骑士装甲,0.5,1.2,0.6,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_ArmorHelmetCataphract,骑士头盔,0.5,1.2,0.6,,,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_ArmorCataphractPrestige,圣装骑士装甲,0.5,1.2,0.6,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_ArmorHelmetCataphractPrestige,圣装骑士头盔,0.5,1.2,0.6,,,Head、LeftEye、RightEye、LeftEar、RightEar、Nose、Jaw,4
Apparel_ArmorLocust,飞蝗装甲,0.35,0.87,0.41,,,Torso、Neck、LeftShoulder、RightShoulder、LeftArm、RightArm、LeftLeg、RightLeg,1、2
Apparel_Gunlink,枪械联控器,0,0,0,,,,4
