名称,分类,描述,"护甲 - 钝器","护甲 - 利器","护甲 - 热能","隔温 - 寒冷","隔温 - 炎热",市场价值
翡翠,"分类:原材料,分类:石材,分类:信息栏",一种坚硬的绿色石头。由于它的美丽和稀有，翡翠经常被用来点缀和装饰。硬度和密度也使其成为一种很好的钝击武器材料。,45%,90%,54%,3.0C,0.0C,"5.00 银"
花岗岩砖,"分类:原材料,分类:石材,分类:信息栏",坚固的花岗岩砖块。花岗岩是一种非常硬的岩石。,,,,,,"0.90 银"
蓝色毛皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",雪牛毛茸茸的毛皮。从它独特的蓝色可以轻松识别。在寒冷气候条件下具有良好的隔温能力。,24%,81%,150%,20.0C,16.0C,"2.30 银"
蜥蜴皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制晒干的冷血爬行动物的皮。蜥蜴皮相当坚韧，但是隔温能力较差。,27%,81%,150%,12.0C,12.0C,"2.10 银"
豚鼠皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",一张豚鼠的毛皮，它很脆弱，但是相当奢华。,14%,67%,150%,38.0C,18.0C,"5.00 银"
象皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、晒干并且抛光的象皮。虽然十分坚韧，但是隔温能力较差。,24%,112%,150%,14.0C,12.0C,"3.00 银"
豹皮,"分类:皮革,分类:制成品,分类:织物,分类:信息栏",从大型猫科动物身上剥制的柔软且毛茸茸的毛皮。难以刺穿并且具有良好的阻热效果。,24%,93%,150%,16.0C,24.0C,"3.00 银"
超织物,"分类:制成品,分类:纤维,分类:织物,分类:需要扩展,分类:信息栏",高科技的纳米纤维布，由特殊的生产型纳米机械编制而成。稍微有点重，但是几乎不可能破损。其生产技术只有最先进的闪耀世界才掌握。,54%,200%,288%,26.0C,26.0C,"9.00 银"
轻薄皮革,"分类:皮革,分类:制成品,分类:织物,分类:信息栏",轻薄的皮革，可能是从小动物身上获取的。没有厚的皮革那么好的防护能力。,14%,54%,150%,12.0C,12.0C,"1.90 银"
野牛毛,"分类:制成品,分类:纤维,分类:织物,分类:毛料,分类:信息栏",茂密而粗糙的野牛毛。很暖和。,0%,36%,110%,26.0C,12.0C,"2.70 银"
钢铁,"分类:金属,分类:原材料,分类:信息栏",一种多用途铁碳合金，可以用来建造建筑、制作工具或武器。,45%,90%,60%,3.0C,0.0C,"1.90 银"
铀,"分类:金属,分类:原材料,分类:需要扩展,分类:信息栏",一种硬度密度极高的金属。虽然它因为给核反应堆提供能量而闻名，但它的物理特性亦使其在作为工具、武器或者护甲用途时表现优异。,54%,108%,65%,3.0C,0.0C,"6.00 银"
雪牛毛,"分类:制成品,分类:纤维,分类:织物,分类:毛料,分类:信息栏",柔软、轻盈，且拥有良好的隔温能力。即使在极端条件下，用雪牛毛制成的衣物也可以保持身体温暖。,0%,36%,110%,28.0C,12.0C,"2.70 银"
驼皮,"分类:皮革,分类:制成品,分类:织物,分类:需要扩展,分类:信息栏",鞣制、干燥并且抛光的驼皮。在炎热的气候下具有良好的隔温能力。,24%,81%,150%,16.0C,24.0C,"2.30 银"
骇人皮革,"分类:皮革,分类:制成品,分类:织物,分类:Anomaly,分类:信息栏",从某些怪异生物身上扒下来的粗韧皮革。皮面上覆满了丑陋的疤痕和螺纹，闻着还有股微弱的腐肉味道。用这东西做成衣服给人穿会让他们不开心的。,24%,127%,150%,20.0C,12.0C,"3.50 银"
魔菇布,"分类:制成品,分类:纤维,分类:织物,分类:需要扩展,分类:信息栏",从产丝的恶魔菇中提取的纤维所织成的布。非常坚固，隔温能力优秀，防火性能相当出色。,36%,140%,300%,20.0C,24.0C,"5.50 银"
鸟皮,"分类:皮革,分类:制成品,分类:织物,分类:信息栏",鞣制过的干燥并抛光的鸟皮。它相当精致，但是没有了羽毛，它对高温和低温几乎没什么抵抗能力。,14%,67%,150%,10.0C,10.0C,"1.80 银"
黄金,"分类:金属,分类:原材料,分类:信息栏",世界上最有诱惑力的金属。无数的人因为对黄金的渴望而命丧黄泉。这种黄色的软质金属本身用途不大，但非常漂亮并且极度稀少。,36%,72%,36%,3.0C,0.0C,"10 银"
